01, 3, 2, 3, 64, 0, 1, 1
02, 5, 2, 5, 128, 0, 2, 1
03, 3, 2, 3, 512, 0, 3, 1
04, 3, 2, 3, 512, 0, 4, 1
05, 3, 2, 3, 512, 0, 5, 1
06, 1, 1, 1, 64, 0, 6, 1
10, 5, 2, 5, 128, 1, 7, 1
12, 3, 2, 3, 32000, 2, 8, 1
13, 3, 2, 3, 513, 0, 9, 1
26, 3, 2, 3, 512, 0, 10, 1
04, 1, 1, 1, 64, 0, 11, 1
18, 5, 2, 5, 128, 1, 12, 1
10, 3, 2, 3, 512, 2, 13, 1
24, 3, 2, 3, 512, 0, 14, 1
21, 3, 2, 3, 513, 0, 15, 1
04, 1, 1, 1, 64, 0, 16, 1
09, 5, 2, 5, 128, 1, 17, 1
19, 3, 2, 3, 512, 2, 18, 1
21, 3, 2, 3, 512, 0, 19, 1
09, 3, 2, 3, 512, 0, 20, 1
04, 1, 1, 1, 64, 0, 21, 1
23, 5, 2, 5, 128, 1, 22, 1
17, 3, 2, 3, 512, 2, 23, 1
11, 3, 2, 3, 512, 0, 24, 1
06, 3, 2, 3, 512, 0, 25, 1
